Department,Discipline,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,SP,W,EW,TotalCount
Athletics",KIN PE,KIN PE 58B,2713,CHAVEZ E C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
"Kinesiology and
Athletics",KIN PE,KIN PE 58B,3486,HOTSINPILLER S S,5.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,13
"Kinesiology and
Athletics",KIN PE,KIN PE 58B,3563,HUNER K A,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6
"Kinesiology and
Athletics",KIN PE,KIN PE 58B,3653,HUNER K A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"Kinesiology and
Athletics",KIN PE,KIN PE 58C,3487,HOTSINPILLER S S,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
"Kinesiology and
Athletics",KIN PE,KIN PE 58C,3564,HUNER K A,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5
"Kinesiology and
Athletics",KIN PE,KIN PE 58C,3652,HUNER K A,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
"Kinesiology and
Athletics",KIN PE,KIN PE 59A,2722,OWENS K,15.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,24
"Kinesiology and
Athletics",KIN PE,KIN PE 59B,2723,OWENS K,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11
"Kinesiology and
Athletics",KIN PE,KIN PE 59C,2725,OWENS K,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4
"Kinesiology and
Athletics",KIN PE,KIN PE 88A,2727,ROQUE E M,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
"Kinesiology and
Athletics",KIN PE,KIN PE 88B,2728,ROQUE E M,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"Kinesiology and
Athletics",PRO CR,PRO CR 6A,3283,LEDWITH K F,14.0,6.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,30
"Kinesiology and
Athletics",PRO CR,PRO CR 10,3285,THOMAS J L,16.0,6.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,31
"Kinesiology and
Athletics",PRO CR,PRO CR 10,3286,THOMAS J L,17.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,30
"Kinesiology and
Athletics",PRO CR,PRO CR 10,3287,HANK M E,5.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,23
"Kinesiology and
